,Home Team Initials,Away Team Initials,Weight,Home Goal Total
0,ALG,AUT,1,2.0
1,ALG,CHI,1,3.0
2,ALG,ESP,1,0.0
3,ALG,NIR,1,0.0
4,ALG,RUS,1,45.0
5,ALG,SVN,1,52.0
6,ANG,POR,1,6.0
7,ARG,BEL,4,8.0
8,ARG,BIH,1,0.0
9,ARG,BRA,3,0.0
10,ARG,BUL,3,5.0
11,ARG,CHI,1,2.0
12,ARG,CIV,1,7.0
13,ARG,CMR,1,9.0
14,ARG,CRO,1,8.0
15,ARG,ENG,3,7.0
16,ARG,ESP,1,9.0
17,ARG,FRA,2,11.0
18,ARG,FRG,2,7.0
19,ARG,GDR,1,3.0
20,ARG,GER,1,1.0
21,ARG,GRE,1,67.0
22,ARG,HAI,1,74.0
23,ARG,HUN,2,31.0
24,ARG,IRN,1,0.0
25,ARG,ITA,1,6.0
26,ARG,JAM,1,2.0
27,ARG,JPN,1,4.0
28,ARG,KOR,2,5.0
29,ARG,MEX,3,1.0
30,ARG,NED,1,1.0
31,ARG,NGA,3,0.0
32,ARG,NIR,1,8.0
33,ARG,PER,1,11.0
34,ARG,POL,1,6.0
35,ARG,ROU,1,0.0
36,ARG,SCG,1,0.0
37,ARG,SLV,1,2.0
38,ARG,SUI,3,3.0
39,ARG,URS,1,1.0
40,ARG,URU,1,5.0
41,ARG,USA,1,4.0
42,AUS,CHI,1,1.0
43,AUS,ESP,1,8.0
44,AUS,FRG,1,2.0
45,AUS,JPN,1,0.0
46,AUS,NED,1,1.0
47,AUS,SRB,1,1.0
48,AUT,ESP,1,3.0
49,AUT,FRA,2,1.0
50,AUT,FRG,1,2.0
51,AUT,HUN,1,0.0
52,AUT,NIR,1,2.0
53,AUT,SCO,1,1.0
54,AUT,SUI,1,2.0
55,AUT,SWE,1,3.0
56,AUT,TCH,2,0.0
57,AUT,URU,1,4.0
58,AUT,USA,1,7.0
59,BEL,ALG,1,1.0
60,BEL,ESP,1,1.0
61,BEL,HUN,1,4.0
62,BEL,KOR,2,0.0
63,BEL,KSA,1,28.0
64,BEL,MAR,1,11.0
65,BEL,MEX,2,11.0
66,BEL,NED,1,4.0
67,BEL,RUS,2,15.0
68,BEL,SLV,2,28.0
69,BEL,URS,1,3.0
70,BEL,URU,1,3.0
71,BEL,USA,2,1.0
72,BIH,IRN,1,19.0
73,BOL,ESP,1,28.0
74,BRA,ALG,1,8.0
75,BRA,ARG,1,13.0
76,BRA,AUS,1,25.0
77,BRA,AUT,2,42.0
78,BRA,BEL,1,29.0
79,BRA,BOL,1,3.0
80,BRA,BUL,1,3.0
81,BRA,CHI,5,0.0
82,BRA,CHN,1,29.0
83,BRA,CIV,1,18.0
84,BRA,CMR,1,22.0
85,BRA,COL,2,0.0
86,BRA,CRC,1,3.0
87,BRA,CRO,2,1.0
88,BRA,DEN,1,4.0
89,BRA,ENG,3,0.0
90,BRA,ESP,3,0.0
91,BRA,FRA,4,1.0
92,BRA,GDR,1,1.0
93,BRA,GER,2,0.0
94,BRA,GHA,1,23.0
95,BRA,ITA,3,30.0
96,BRA,MAR,1,12.0
97,BRA,MEX,4,8.0
98,BRA,NED,3,0.0
99,BRA,NOR,1,2.0
100,BRA,NZL,1,0.0
101,BRA,PER,2,1.0
102,BRA,POL,4,0.0
103,BRA,PRK,1,1.0
104,BRA,ROU,1,32.0
105,BRA,RUS,1,53.0
106,BRA,SCO,3,10.0
107,BRA,SUI,1,4.0
108,BRA,SWE,5,1.0
109,BRA,TCH,5,2.0
110,BRA,TUR,2,0.0
111,BRA,URS,2,3.0
112,BRA,URU,1,2.0
